frame,crowd_density_norm,facial_discomfort_norm,overload_probability
0,0.0615384615384615,1.0,0.61159897
1,0.0461538461538461,1.0,0.60974425
2,0.2,0.0,0.53000814
3,0.1307692307692308,0.0,0.51943845
4,0.1307692307692308,0.5,0.56804574
5,0.0769230769230769,0.0,0.51184493
6,0.1076923076923077,0.5,0.56453097
6,0.1076923076923077,0.0,0.5161263
7,0.0769230769230769,0.0,0.51184493
8,0.1153846153846153,0.0,0.5171963
9,0.0769230769230769,0.0,0.51184493
10,0.1076923076923077,0.0,0.5161263
11,0.0307692307692307,0.0,0.50620806
12,0.0,1.0,0.6037275
13,0.0923076923076923,0.5,0.5621841
13,0.0923076923076923,0.0,0.5139859
14,0.0692307692307692,1.0,0.61252505
15,0.0769230769230769,0.3333333333333333,0.5427656
16,0.0538461538461538,0.0,0.50882125
17,0.1384615384615384,0.5,0.56921583
18,0.1,0.0,0.51505613
19,0.0307692307692307,0.0,0.50620806
20,0.0076923076923077,0.5,0.5513203
20,0.0076923076923077,0.0,0.5036728
21,0.0230769230769231,0.5,0.55324125
22,0.0461538461538461,0.0,0.5078902
23,0.1076923076923077,0.3333333333333333,0.5465607
24,0.0461538461538461,0.0,0.5078902
25,0.1153846153846153,0.5,0.5657033
26,0.1153846153846153,0.3333333333333333,0.54750866
27,0.2538461538461538,0.3333333333333333,0.56755304
27,0.2538461538461538,0.0,0.53809977
28,0.2230769230769231,0.0,0.5335259
28,0.2230769230769231,0.0,0.5335259
29,0.2846153846153845,0.5,0.5912466
30,0.2384615384615384,0.5,0.5841932
31,0.2384615384615384,0.6666666666666666,0.6032833
32,0.2538461538461538,0.0,0.53809977
33,0.2615384615384615,0.5,0.5876225
33,0.2615384615384615,1.0,0.63551706
34,0.3076923076923076,0.5,0.59501094
35,0.2230769230769231,0.6666666666666666,0.6009976
36,0.1432692307692307,0.0,0.5213484
37,0.1432692307692307,0.0,0.5213484
38,0.1259615384615385,0.0,0.51870376
38,0.1259615384615385,0.0,0.51870376
39,0.1346153846153846,0.0,0.5200262
40,0.2557692307692308,0.6666666666666666,0.60584915
41,0.273076923076923,0.6666666666666666,0.6084092
42,0.2124999999999999,1.0,0.62961924
43,0.1605769230769231,0.0,0.523992
44,0.1098901098901099,0.0,0.516432
45,0.1395604395604395,0.0,0.5207818
46,0.1395604395604395,0.0,0.5207818
47,0.1807692307692307,0.5,0.57558495
47,0.1807692307692307,1.0,0.6258595
48,0.1692307692307692,0.3333333333333333,0.55451393
49,0.0653846153846153,1.0,0.61206216
50,0.0884615384615384,0.0,0.5134507
51,0.0538461538461538,0.5,0.5570784
52,0.2269230769230769,0.0,0.53411186
52,0.2269230769230769,0.0,0.53411186
53,0.0884615384615384,0.3333333333333333,0.5441894
54,0.1807692307692307,0.3333333333333333,0.5561469
55,0.1346153846153846,0.3333333333333333,0.549877
56,0.1692307692307692,0.0,0.52531326
57,0.1346153846153846,1.0,0.6203637
58,0.1346153846153846,0.3333333333333333,0.549877
59,0.1576923076923076,1.0,0.62311554
60,0.1692307692307692,1.0,0.62448853
60,0.1692307692307692,0.0,0.52531326
61,0.0884615384615384,0.0,0.5134507
61,0.0884615384615384,0.0,0.5134507
62,0.0423076923076923,0.0,0.5074247
63,0.1461538461538461,0.6666666666666666,0.58950543
64,0.123076923076923,0.5,0.56687486
65,0.1346153846153846,0.5,0.56863093
66,0.1,0.0,0.51505613
66,0.1,0.0,0.51505613
67,0.0769230769230769,0.0,0.51184493
68,0.1115384615384615,1.0,0.617604
69,0.1115384615384615,0.0,0.5166613
70,0.1692307692307692,0.5,0.5738576
71,0.183076923076923,0.0,0.5274266
72,0.1415384615384615,0.5,0.5696836
73,0.1138461538461538,1.0,0.61788034
73,0.1138461538461538,0.0,0.51698226
74,0.1692307692307692,0.0,0.52531326
75,0.1553846153846154,0.6666666666666666,0.59088993
76,0.2384615384615384,0.5,0.5841932
77,0.2246153846153847,0.3333333333333333,0.56269735
78,0.1692307692307692,0.3333333333333333,0.55451393
79,0.3215384615384615,0.5,0.59726423
79,0.3215384615384615,0.0,0.5478828
80,0.3353846153846154,1.0,0.64467907
81,0.4046153846153846,1.0,0.6531733
82,0.5569230769230769,0.0,0.58302236
83,0.5846153846153848,0.5,0.63750446
84,0.6953846153846155,0.3333333333333333,0.63535917
85,0.653846153846154,0.0,0.5967243
86,0.5984615384615384,0.0,0.5889464
87,0.5846153846153848,0.6666666666666666,0.6516737
88,0.5153846153846153,0.0,0.57681936
89,0.4738461538461538,0.0,0.5703046
90,0.46,0.5,0.61917055
91,0.5430769230769232,0.0,0.5810039
92,0.5015384615384617,0.0,0.57468283
93,0.4738461538461538,0.0,0.5703046
93,0.4738461538461538,0.0,0.5703046
94,0.4184615384615385,0.0,0.56210613
94,0.4184615384615385,0.0,0.56210613
95,0.2938461538461539,0.5,0.59275365
96,0.2384615384615384,0.0,0.5358692
96,0.2384615384615384,0.0,0.5358692
97,0.1553846153846154,0.0,0.5231991
98,0.1969230769230769,1.0,0.6277755
99,0.1276923076923077,0.0,0.5189682
100,0.2661538461538462,0.5,0.5883074
101,0.1692307692307692,0.0,0.52531326
102,0.1692307692307692,0.6666666666666666,0.592964
103,0.1276923076923077,0.6666666666666666,0.58673215
104,0.1692307692307692,0.0,0.52531326
105,0.3076923076923076,0.5,0.59501094
106,0.2557692307692308,0.5,0.58676594
106,0.2557692307692308,0.0,0.5383413
107,0.1519230769230768,0.5,0.57126164
108,0.1346153846153846,0.3333333333333333,0.549877
109,0.1,0.0,0.51505613
110,0.2615384615384615,1.0,0.63551706
111,0.2846153846153845,0.0,0.54243934
111,0.2846153846153845,0.0,0.54243934
112,0.2153846153846153,0.5,0.5807558
113,0.2384615384615384,1.0,0.63268375
114,0.3307692307692308,1.0,0.6441094
115,0.2384615384615384,1.0,0.63268375
116,0.2615384615384615,0.0,0.53906566
117,0.3538461538461538,1.0,0.6469534
118,0.2384615384615384,1.0,0.63268375
118,0.2384615384615384,0.0,0.5358692
119,0.2615384615384615,1.0,0.63551706
120,0.3076923076923076,0.5,0.59501094
121,0.3307692307692308,1.0,0.6441094
122,0.3307692307692308,1.0,0.6441094
123,0.2153846153846153,0.5,0.5807558
124,0.2153846153846153,1.0,0.6299603
125,0.2384615384615384,1.0,0.63268375
126,0.1923076923076923,1.0,0.6272285
127,0.1461538461538461,0.5,0.57038516
128,0.3423076923076923,0.5,0.6006364
128,0.3423076923076923,1.0,0.64553267
129,0.273076923076923,1.0,0.63695526
130,0.273076923076923,0.5,0.5893763
131,0.273076923076923,1.0,0.63695526
132,0.273076923076923,1.0,0.63695526
132,0.273076923076923,0.0,0.54066056
133,0.273076923076923,1.0,0.63695526
134,0.2384615384615384,1.0,0.63268375
135,0.3423076923076923,1.0,0.64553267
136,0.3076923076923076,0.5,0.59501094
137,0.3076923076923076,1.0,0.6412553
137,0.3076923076923076,0.0,0.5458439
138,0.3076923076923076,0.0,0.5458439
138,0.3076923076923076,0.0,0.5458439
139,0.3076923076923076,0.0,0.5458439
139,0.3076923076923076,1.0,0.6412553
140,0.2384615384615384,0.5,0.5841932
141,0.2384615384615384,1.0,0.63268375
142,0.2384615384615384,0.0,0.5358692
143,0.3423076923076923,0.3333333333333333,0.582157
144,0.3076923076923076,1.0,0.6412553
145,0.3076923076923076,0.0,0.5458439
145,0.3076923076923076,0.0,0.5458439
146,0.3769230769230769,0.5,0.6062355
147,0.3423076923076923,0.0,0.55093807
148,0.4461538461538462,0.0,0.56615233
149,0.2384615384615384,0.5,0.5841932
150,0.273076923076923,0.0,0.54066056
151,0.3769230769230769,0.5,0.6062355
152,0.3076923076923076,0.5,0.59501094
152,0.3076923076923076,0.0,0.5458439
153,0.3423076923076923,1.0,0.64553267
154,0.3076923076923076,0.0,0.5458439
155,0.3423076923076923,1.0,0.64553267
156,0.3076923076923076,0.5,0.59501094
157,0.4461538461538462,0.6666666666666666,0.6322622
158,0.4461538461538462,0.5,0.61711943
159,0.3769230769230769,0.0,0.5560215
159,0.3769230769230769,1.0,0.64978695
160,0.3769230769230769,0.0,0.5560215
160,0.3769230769230769,0.0,0.5560215
161,0.3769230769230769,0.5,0.6062355
162,0.273076923076923,0.6666666666666666,0.6084092
162,0.273076923076923,1.0,0.63695526
163,0.273076923076923,1.0,0.63695526
163,0.273076923076923,0.0,0.54066056
164,0.4461538461538462,1.0,0.65870994
165,0.4461538461538462,0.0,0.56615233
166,0.4115384615384616,0.0,0.5610933
167,0.4115384615384616,1.0,0.6540175
168,0.4461538461538462,0.0,0.56615233
169,0.3769230769230769,1.0,0.64978695
170,0.3769230769230769,0.5,0.6062355
171,0.4461538461538462,0.0,0.56615233
172,0.3769230769230769,0.0,0.5560215
173,0.3769230769230769,0.0,0.5560215
174,0.3769230769230769,0.0,0.5560215
175,0.3769230769230769,0.0,0.5560215
176,0.4115384615384616,0.0,0.5610933
177,0.3423076923076923,0.0,0.55093807
178,0.3769230769230769,0.6666666666666666,0.62272567
179,0.3769230769230769,0.6666666666666666,0.62272567
179,0.3769230769230769,0.0,0.5560215
180,0.3769230769230769,0.0,0.5560215
181,0.3769230769230769,0.0,0.5560215
182,0.273076923076923,0.5,0.5893763
182,0.273076923076923,0.0,0.54066056
183,0.273076923076923,0.5,0.5893763
184,0.273076923076923,0.5,0.5893763
185,0.3076923076923076,0.0,0.5458439
186,0.3076923076923076,0.0,0.5458439
187,0.3423076923076923,1.0,0.64553267
188,0.3423076923076923,1.0,0.64553267
189,0.3769230769230769,0.5,0.6062355
190,0.3769230769230769,0.5,0.6062355
191,0.3769230769230769,0.0,0.5560215
192,0.3769230769230769,0.5,0.6062355
193,0.3769230769230769,0.5,0.6062355
194,0.3769230769230769,1.0,0.64978695
195,0.3769230769230769,0.0,0.5560215
195,0.3769230769230769,0.0,0.5560215
196,0.4807692307692308,0.5,0.6222392
197,0.3076923076923076,0.0,0.5458439
197,0.3076923076923076,0.0,0.5458439
198,0.3423076923076923,0.0,0.55093807
199,0.3423076923076923,0.5,0.6006364
200,0.4461538461538462,1.0,0.65870994
201,0.4807692307692308,1.0,0.66356677
202,0.4807692307692308,1.0,0.66356677
203,0.4807692307692308,1.0,0.66356677
204,0.4807692307692308,0.0,0.57139105
205,0.4807692307692308,0.5,0.6222392
206,0.3769230769230769,0.0,0.5560215
207,0.273076923076923,0.0,0.54066056
208,0.273076923076923,0.0,0.54066056
209,0.4461538461538462,0.0,0.56615233
210,0.4115384615384616,0.6666666666666666,0.62748545
211,0.4115384615384616,1.0,0.6540175
212,0.7923076923076924,0.0,0.6167938
213,0.7923076923076924,0.0,0.6167938
213,0.7923076923076924,0.0,0.6167938
214,0.7923076923076924,0.0,0.6167938
215,0.7923076923076924,0.5,0.66478395
216,0.7923076923076924,1.0,0.70589316
217,0.7923076923076924,1.0,0.70589316
218,0.7923076923076924,0.0,0.6167938
219,0.7923076923076924,0.0,0.6167938
219,0.7923076923076924,0.0,0.6167938
220,0.7923076923076924,0.5,0.66478395
221,0.7923076923076924,0.0,0.6167938
222,0.7923076923076924,0.5,0.66478395
223,0.7923076923076924,1.0,0.70589316
224,0.7923076923076924,0.5,0.66478395
225,0.7923076923076924,1.0,0.70589316
226,0.7923076923076924,0.0,0.6167938
227,0.7923076923076924,0.6666666666666666,0.67985564
228,0.7923076923076924,0.5,0.66478395
228,0.7923076923076924,0.0,0.6167938
229,0.7923076923076924,0.5,0.66478395
230,0.7923076923076924,0.0,0.6167938
231,0.7923076923076924,0.0,0.6167938
232,0.7923076923076924,0.0,0.6167938
233,0.7923076923076924,0.0,0.6167938
234,0.7923076923076924,1.0,0.70589316
235,0.7923076923076924,1.0,0.70589316
236,0.7923076923076924,0.0,0.6167938
236,0.7923076923076924,0.0,0.6167938
237,0.7923076923076924,0.0,0.6167938
238,0.7923076923076924,0.0,0.6167938
239,0.7923076923076924,1.0,0.70589316
240,0.7923076923076924,0.0,0.6167938
241,0.7923076923076924,1.0,0.70589316
242,0.7923076923076924,0.0,0.6167938
243,0.7923076923076924,0.0,0.6167938
244,0.7923076923076924,0.0,0.6167938
244,0.7923076923076924,0.0,0.6167938
245,0.7230769230769232,0.5,0.65618354
246,0.7230769230769232,0.0,0.60642153
247,0.7230769230769232,0.5,0.65618354
248,0.7230769230769232,0.5,0.65618354
249,0.7230769230769232,1.0,0.69689715
250,0.7230769230769232,1.0,0.69689715
251,0.7923076923076924,0.5,0.66478395
252,0.7923076923076924,0.5,0.66478395
253,0.7923076923076924,0.0,0.6167938
254,0.7923076923076924,0.0,0.6167938
255,1.0,0.0,0.6459258
256,1.0,0.5,0.68878824
257,1.0,0.0,0.6459258
258,0.9307692307692308,0.5,0.68120766
259,1.0,1.0,0.7293335
260,1.0,0.0,0.6459258
260,1.0,0.0,0.6459258
261,1.0,0.5,0.68878824
262,1.0,0.6666666666666666,0.7027786
263,1.0,0.0,0.6459258
264,0.9307692307692308,0.0,0.63636845
265,1.0,0.0,0.6459258
266,1.0,0.5,0.68878824
267,1.0,0.0,0.6459258
268,1.0,0.0,0.6459258
269,1.0,1.0,0.7293335
270,1.0,0.0,0.6459258
271,1.0,0.0,0.6459258
272,1.0,0.5,0.68878824
273,1.0,1.0,0.7293335
274,1.0,0.5,0.68878824
274,1.0,0.0,0.6459258
275,1.0,0.0,0.6459258
276,1.0,1.0,0.7293335
276,1.0,0.0,0.6459258
277,1.0,1.0,0.7293335
278,1.0,0.5,0.68878824
279,0.9307692307692308,0.5,0.68120766
280,1.0,0.0,0.6459258
281,1.0,0.5,0.68878824
281,1.0,0.0,0.6459258
282,1.0,0.5,0.68878824
283,1.0,0.3333333333333333,0.6744445
284,1.0,0.5,0.68878824
284,1.0,1.0,0.7293335
285,1.0,1.0,0.7293335
285,1.0,0.0,0.6459258
286,1.0,0.0,0.6459258
287,1.0,0.0,0.6459258
288,1.0,0.0,0.6459258
289,1.0,0.5,0.68878824
290,1.0,0.5,0.68878824
290,1.0,0.0,0.6459258
291,1.0,1.0,0.7293335
292,1.0,0.0,0.6459258
293,1.0,0.5,0.68878824
294,1.0,0.0,0.6459258
294,1.0,0.0,0.6459258
295,1.0,0.0,0.6459258
296,1.0,0.0,0.6459258
297,1.0,0.0,0.6459258
298,1.0,0.5,0.68878824
299,1.0,0.0,0.6459258
300,1.0,0.5,0.68878824
301,1.0,0.5,0.68878824
302,1.0,0.5,0.68878824
303,1.0,0.0,0.6459258
304,1.0,1.0,0.7293335
305,1.0,0.5,0.68878824
306,1.0,0.0,0.6459258
307,1.0,1.0,0.7293335
308,1.0,0.0,0.6459258
309,1.0,0.5,0.68878824
310,0.9307692307692308,0.0,0.63636845
